,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived],dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_to_grid_m,sea_depth_m,turbine_age,park_size,P_rated_kW,Hub_height_m,Diameter_m,Lifetime_production_kWh,Capacity_factors,Tower_mass_kg,Nacelle_mass_kg,Blade_mass_kg,Foundation_mass_kg
75500,0.000159010252555,0.0312324293921303,3.756920849520918e-05,0.0311376990469186,5.716113671645956e-05,0.1670401479131989,0.1550104128563647,0.0120297350568341,0.3737216577293809,1.3067066376902336e-05,4.095279681502696e-05,0.0003819131232357,2.2917531247906047e-10,1.577972183200765e-10,7.137809415898412e-11,7.477046829396444e-10,7.249829965710377e-10,2.272168636860688e-11,0.001859824281806,0.6891062878622064,3.5779161348823175e-07,5.074475388535194e-10,2.604179811354167e-09,0.0001587196853006,0.0142546429908332,311515.56831098424,587584.2795524078,598337.5271778444,8989.760822310496,40.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2819458.646616538
75501,0.0001600948490528,0.031436777527303,3.778449620084016e-05,0.0313416796562196,5.731337488256386e-05,0.16828416787578,0.1561871563403061,0.0120970115354737,0.3759829389431197,1.317610976922029e-05,4.11896844832501e-05,0.0003841511053179,2.3068573783555323e-10,1.5871393840561962e-10,7.197179942993374e-11,7.541297878228714e-10,7.311859365512006e-10,2.2943851271671288e-11,0.0018681472976725,0.68984842371332,3.612937606404311e-07,5.11169929197258e-10,2.620126899422456e-09,0.0001597049075924,0.0143408694862073,309267.8919146459,589725.1904367147,600711.0741507543,10392.040365731138,42.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2855115.789473681
75502,0.000160906493286,0.0316360926537753,3.798044519957142e-05,0.0315406549013734,5.745730720231938e-05,0.1692226882540884,0.1570602517304528,0.0121624365236355,0.3781370352756272,1.3264001450370376e-05,4.141156588562823e-05,0.0003861870611084,2.3219275602190262e-10,1.5958356287653683e-10,7.260919314536593e-11,7.570623631439445e-10,7.340652064243291e-10,2.2997156719615662e-11,0.0018760071885702,0.6904934466874881,3.61408367746381e-07,5.144935674099737e-10,2.6372768268455053e-09,0.0001606292220481,0.0144234180197988,309478.5075390216,589600.2151163762,600310.3110894836,9651.175269948732,44.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2890772.9323308235
75503,0.0001599073207054,0.0314336084128358,3.777124850110638e-05,0.031338529371165,5.730779316964545e-05,0.1680756308417214,0.1559798110373088,0.0120958198044124,0.3759136281147429,1.316154207764726e-05,4.1179538421753295e-05,0.000384013845078,2.3068352845878944e-10,1.5868152483919698e-10,7.200200361959263e-11,7.517240138293165e-10,7.28896471070472e-10,2.282754275884474e-11,0.0018678336317276,0.6897860945137219,3.589579731243771e-07,5.109017397075351e-10,2.620986525235422e-09,0.0001596641166438,0.0143383562493182,309598.32122027565,589572.6804973382,599988.5878223564,8913.744452250043,42.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2855115.789473681
75504,0.0001598188528246,0.0314321226051317,3.776500004052981e-05,0.0313370524411426,5.730516394854999e-05,0.1679772952645777,0.1558820350965968,0.0120952601679808,0.3758810688351356,1.31546685192903e-05,4.117475718712764e-05,0.0003839491408352,2.3068249037870487e-10,1.5866623167100468e-10,7.201625870770029e-11,7.505888712441001e-10,7.278162073547912e-10,2.2772663889309255e-11,0.0018676858021697,0.6897568308473394,3.5785577848859337e-07,5.107754040238767e-10,2.621393124052107e-09,0.0001596449069928,0.0143371710486442,309712.8949708022,589548.6216770498,599684.0688171339,8216.15931415984,42.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2855115.789473681
75505,0.000158547173278,0.0312250253888096,3.75365513945194e-05,0.0311303413019275,5.714753548763824e-05,0.1665271656815695,0.1545002561600285,0.0120269095215409,0.373556826032272,1.3031041054705325e-05,4.09279815558701e-05,0.0003815764235345,2.2917004871819662e-10,1.5771709337217931e-10,7.145295534601742e-11,7.417547385371404e-10,7.1932069445193e-10,2.2434044085210342e-11,0.0018590563197675,0.6889587867274125,3.520113591364502e-07,5.067937012561201e-10,2.606351093683871e-09,0.0001586204977849,0.0142484567982315,310381.8144638235,589279.5021809292,598266.9717935422,5330.699824861613,40.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2819458.646616538
75506,0.0001584617772624,0.0312235870550379,3.753051934685072e-05,0.0311289115399087,5.714499578239e-05,0.1664322253173352,0.1544058571452788,0.0120263681720562,0.3735253355709994,1.302440667532882e-05,4.092336400391414e-05,0.0003815139440619,2.2916904480841079e-10,1.577023320424657e-10,7.146671276594517e-11,7.40659100946268e-10,7.182780259566628e-10,2.238107498960524e-11,0.0018589135588567,0.6889304765648624,3.5094755603697175e-07,5.066716700645424e-10,2.606743100313572e-09,0.0001586019401048,0.0142473125564218,310517.07742552523,589250.6195537467,597949.5566131255,4657.420687956877,40.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2819458.646616538
75507,0.0001583676096732,0.0312219828287005,3.75238652752937e-05,0.0311273167760575,5.714218736774327e-05,0.1663274479921218,0.1543016818237797,0.0120257661683419,0.373490338371624,1.3017093079219348e-05,4.091826185629228e-05,0.0003814449501521,2.2916792951545903e-10,1.5768605807311536e-10,7.148187144234377e-11,7.394513179406564e-10,7.171286342480108e-10,2.2322683692645597e-11,0.0018587558500268,0.6888989824488888,3.497750123059356e-07,5.06536741660767e-10,2.607173283449401e-09,0.0001585814099243,0.0142460499234857,310755.9420551768,589127.1586061371,597525.4963262251,3915.354110086895,40.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2819458.646616538
75508,0.0001614990845453,0.0317393108875419,3.809166797858833e-05,0.0316436842124296,5.75350071337465e-05,0.1699015354040579,0.1577050870055532,0.0121964483985045,0.3792891765529212,1.332240603645899e-05,4.153284097079624e-05,0.0003873438993382,2.329486496755382e-10,1.6005057744461911e-10,7.289807223091919e-11,7.609158951101627e-10,7.377766622769956e-10,2.3139232833167316e-11,0.0018802558575975,0.6908841844537478,3.637802081405626e-07,5.164305682358899e-10,2.645042183348324e-09,0.0001611334825803,0.0144672144784838,307258.6952958601,591801.0908983899,602451.5454989562,10744.82471553232,45.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2908601.5037593953
75509,0.0001590187284836,0.0312336702876697,3.756995442087811e-05,0.0311389384701666,5.716186308228761e-05,0.1670547149312379,0.155024620712118,0.0120300942191198,0.373741247422727,1.3067589174183005e-05,4.09538780728152e-05,0.0003819251787726,2.29175912132868e-10,1.5779846617988334e-10,7.137744595298478e-11,7.477895601104318e-10,7.25063741249109e-10,2.2725818861322885e-11,0.0018598556341636,0.689125796879568,3.5786517252127495e-07,5.074815872438396e-10,2.6042672808379956e-09,0.0001587255394624,0.0142548085099216,305986.58714334795,593523.254192385,602716.8043950723,9034.240200931326,40.0,4,102,7000,120,154,416976000.0,0.34,873664.53187944,332976.33466999995,184256.08432000002,2819458.646616538
