index,GWP100_total_kgCO2eq,GWP100_gCO2eq_kWh,Input,Assembly,Maintenance,Transport,Disposal
37132,390844.64529459307,0.016626651027684878,0.013937824213024384,0.0018981351879977747,6.690378655493344e-06,0.0009377581359377485,-0.00015375688793052501
37133,390801.11883354763,0.016624799398688585,0.013935699305869107,0.0018980031122683004,6.690378655493344e-06,0.000937734037550973,-0.00015332743565528954
37134,390757.29184292007,0.016622934985071742,0.013933559819645005,0.0018978701303622228,6.690378655493344e-06,0.0009377096933006747,-0.00015289503689165632
37135,402444.3970473273,0.013281408925326331,0.01106530714015492,0.0015209673149072346,5.190250824831212e-06,0.000796523327873325,-0.00010657910843398046
37136,402411.39267880074,0.013280319720164229,0.011064081982710394,0.001520891164020922,5.190250824831212e-06,0.0007964878217991033,-0.00010633149919102277
37137,402377.2465416039,0.013279192834525718,0.011062812540956944,0.0015208122605990973,5.190250824831212e-06,0.0007964527220561156,-0.00010607493991127079
37138,403006.28770742705,0.013299952355630888,0.011087104594964967,0.0015223221575117983,5.190250824831212e-06,0.0007963198139756605,-0.00011098446164636914
37139,402972.7524813548,0.013298845631188614,0.01108585803055916,0.0015222446760543968,5.190250824831212e-06,0.0007962851997207355,-0.0001107325259705103
37140,416145.98475720227,0.013733586643878777,0.01140016819393863,0.0015745126885384863,5.190250824831212e-06,0.0008642086482584727,-0.0001104931376816428
37141,1775719.4995928595,0.018361205202262212,0.01526644476454836,0.0017724867595541884,3.695934167899115e-06,0.0014241742854081245,-0.00010559654141635767
37142,1775829.8183960044,0.018362345915186002,0.015267692991780362,0.0017725643443662154,3.695934167899115e-06,0.0014242414580275993,-0.00010584881315607285
