turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
20978,3000,4.26627,51.27108,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.08751802116625872,0.01235907504677016,1.908497525987737e-05,0.013769439475375301,-0.0002610683118546918,0.11340455235180937
20978,3000,4.26627,51.27108,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.008583147628242539,0.0005010740437926584,3.491766032527191e-06,0.0007838550100874303,-5.921034166150714e-06,0.009865647413989004
20978,3000,4.26627,51.27108,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.20825640120098957,0.04842689446182122,3.66909504820884e-05,0.03280761895401025,-0.0001930511828289447,0.2893345543844742
20978,3000,4.26627,51.27108,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,7.322732871158721e-06,8.480284482583083e-07,3.661873185620836e-10,2.0588529643833694e-07,-2.0486066351090663e-09,8.37496419653882e-06
20978,3000,4.26627,51.27108,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,2.2970728153465816e-05,2.3085284247486596e-06,2.5004434817178654e-09,6.4441561481456065e-06,-2.8534818193884715e-08,3.1697378351647916e-05
20978,3000,4.26627,51.27108,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.00020640275734065157,2.375128026929769e-05,2.6123382491860337e-08,6.95076003899169e-05,-2.7008214314632895e-07,0.0002994176792392117
20978,3000,4.26627,51.27108,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,1.3546990690437368e-10,9.555709883332815e-12,2.4917765345136415e-15,1.1792871058846655e-12,-8.547934731081161e-13,1.4535260219701755e-10
20978,3000,4.26627,51.27108,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,1.0469159581622106e-10,6.553923999565666e-12,1.1532198442924916e-15,5.816017508007487e-13,-5.399848954078341e-15,1.1182287493747769e-10
20978,3000,4.26627,51.27108,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,3.0778311088152615e-11,3.0017858837671483e-12,1.3385566902211499e-15,5.976853550839171e-13,-8.493936241540378e-13,3.352972725953986e-11
20978,3000,4.26627,51.27108,EF v3.1 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),CTUh,5.672544916193725e-10,2.8351333991971384e-11,3.1058115178245735e-14,1.612645219122212e-11,-1.5751758222769092e-13,6.116058183355166e-10
20978,3000,4.26627,51.27108,"EF v3.1 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,5.482563263904848e-10,2.725051387429128e-11,2.4162807833152366e-14,1.5225379989795933e-11,-1.4834650459502515e-13,5.906080365578101e-10
20978,3000,4.26627,51.27108,"EF v3.1 - human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,1.899816522888769e-11,1.1008201176801033e-12,6.8953073450933665e-15,9.01072201426188e-13,-9.171077632665801e-15,2.0997781777706407e-11
20978,3000,4.26627,51.27108,EF v3.1 - ionising radiation: human health - human exposure efficiency relative to u235,kBq U235-Eq,0.0009528954416535211,0.0011476365624661952,5.854176864423626e-08,7.093301017071688e-05,-2.1743936479823918e-07,0.0021713061166942793
20978,3000,4.26627,51.27108,EF v3.1 - land use - soil quality index,dimensionless,0.8006000725763753,0.013678876534719633,1.3127206653661338e-05,0.027016252377483736,-0.0003292068152111928,0.8409791218800212
20978,3000,4.26627,51.27108,EF v3.1 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,3.5375214225204073e-07,1.7959763978444253e-08,2.7640413274154888e-11,4.6936877298915986e-09,-1.918243452928937e-11,3.7641405193912147e-07
20978,3000,4.26627,51.27108,EF v3.1 - ozone depletion - ozone depletion potential (ODP),kg CFC-11-Eq,2.329905841554446e-10,4.8424166095636865e-11,6.09794114784614e-14,4.911382495673054e-11,-2.6592026942833813e-13,3.3032363434986216e-10
20978,3000,4.26627,51.27108,EF v3.1 - particulate matter formation - impact on human health,disease incidence,1.5883835956996114e-09,1.3724098757014622e-10,1.5048173128244157e-13,1.279440870719203e-10,-3.8002246582466365e-11,1.815716905490494e-09
20978,3000,4.26627,51.27108,EF v3.1 - photochemical oxidant formation: human health - tropospheric ozone concentration increase,kg NMVOC-Eq,8.714263286145579e-05,9.47983456457061e-06,1.1616141099678028e-08,2.154203390022586e-05,-9.320043780004009e-08,0.00011808291702955189
20978,3000,4.26627,51.27108,EF v3.1 - water use - user deprivation potential (deprivation-weighted water consumption),m3 world eq. deprived,0.008808273201156567,0.0017540731042749343,3.0002829528375935e-07,0.00019200885001006607,-1.7862321731120037e-06,0.01075286895156374
20979,3000,4.26006,51.27536,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,9.778947408860786e-05,1.0262443854312102e-05,9.691868535943929e-09,1.5095190747046964e-05,-6.503181942003766e-08,0.00012309176873908284
20979,3000,4.26006,51.27536,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.018851012249281103,0.0023948064611650707,2.7749005252183113e-06,0.00241344675496409,-4.686910565217429e-05,0.023615171260283306
20979,3000,4.26006,51.27536,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.5481953537045915e-05,5.251497898090738e-06,1.3265307152935994e-09,9.237288615801145e-07,-6.6061354261414095e-09,3.165190069200592e-05
20979,3000,4.26006,51.27536,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.018772594411177783,0.0023862039735122924,2.7722983736976062e-06,0.0024091240252870376,-4.6856340384016613e-05,0.023523838367966794
20979,3000,4.26006,51.27536,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,5.2935884566272674e-05,3.3509897546881064e-06,1.2756208054112795e-09,3.39900081547214e-06,-6.159132731546383e-09,5.968099162450678e-05
20979,3000,4.26006,51.27536,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.09566508293786513,0.01284246179042657,2.2576741292404565e-05,0.014552712896126689,-0.0002589405240796155,0.12282389384163118
20979,3000,4.26006,51.27536,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.08708434129709505,0.012341519121710245,1.908497525987737e-05,0.013768880560851257,-0.00025308795932975326,0.11296073799558667
20979,3000,4.26006,51.27536,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.008580741640770084,0.000500942668716322,3.491766032527191e-06,0.0007838323352754363,-5.852564749862319e-06,0.009863155846044507
20979,3000,4.26006,51.27536,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.2081180459486085,0.04842080276520806,3.66909504820884e-05,0.03280639130398773,-0.00019255988619287234,0.2891893710820935
20979,3000,4.26006,51.27536,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,7.292728821283767e-06,8.467482236924051e-07,3.661873185620836e-10,2.0587937144761198e-07,-2.041800249581517e-09,8.343680803492765e-06
20979,3000,4.26006,51.27536,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,2.294971795875659e-05,2.307533439004844e-06,2.5004434817178654e-09,6.444101725236839e-06,-2.8092776207682814e-08,3.167576079027231e-05
20979,3000,4.26006,51.27536,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.0002061210347680225,2.3738626371926127e-05,2.6123382491860337e-08,6.950704453184351e-05,-2.681950044787643e-07,0.00029912463404980523
20979,3000,4.26006,51.27536,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,1.3540082647873144e-10,9.552871318724471e-12,2.4917765345136415e-15,1.1792497118042612e-12,-7.874706100503447e-13,1.4534796867574435e-10
20979,3000,4.26006,51.27536,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,1.04624534934853e-10,6.5512205463989035e-12,1.1532198442924916e-15,5.815826327667405e-13,-5.204724672464214e-15,1.1175328660919047e-10
20979,3000,4.26006,51.27536,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,3.0776291543878426e-11,3.001650772325567e-12,1.3385566902211499e-15,5.976670790375206e-13,-7.822658853778805e-13,3.359468206655385e-11
20979,3000,4.26006,51.27536,EF v3.1 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),CTUh,5.622812213504075e-10,2.8152747528312936e-11,3.1058115178245735e-14,1.6125576102221942e-11,-1.5138412312975455e-13,6.064392189729909e-10
20979,3000,4.26006,51.27536,"EF v3.1 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,5.435234410380183e-10,2.7061506353124953e-11,2.4162807833152366e-14,1.5224548293753712e-11,-1.4244679563667908e-13,5.856912116970935e-10
