,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived],dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_to_grid_m,sea_depth_m,turbine_age,park_size,P_rated_kW,Hub_height_m,Diameter_m,Lifetime_production_kWh,Capacity_factors,Tower_mass_kg,Nacelle_mass_kg,Blade_mass_kg,Foundation_mass_kg,Aluminium,Cast iron,Copper,HDPE,Lead,Steel (low-alloy),Lubricating oil,PVC,Tin,Steel (chromium),Rubber,Fiberglass,Epoxy resin,Grout (cement),PP
73391,7.475927913613842e-05,0.0126605899130987,2.13516096638806e-05,0.0125960943493404,4.314395409442327e-05,0.0718468150201145,0.0662206163985605,0.0056261986215539,0.1602959031932285,4.959967878558059e-06,1.878963407527572e-05,0.0001740717785651,8.932785012555024e-11,7.209717851103415e-11,1.7230671614516178e-11,3.935180471614779e-10,3.7992060472619755e-10,1.3597442435280544e-11,0.0007820568706268,0.6210145026154036,2.56014633189487e-07,1.7114773072744806e-10,1.081815425787396e-09,6.894809783657346e-05,0.0067960587844958,64011.18922057968,279736.19857663376,104257.3239623787,7376.359465019771,12.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,234050.3035478681,890.7072867300936,28895.856904823166,2241.0360013202617,639.9571914665166,0.49999493162765707,229578.45435612046,1155.966326351734,448.2256536263301,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,52049.20366213376,55.97804783617868
73392,7.496230083311016e-05,0.0126641379321659,2.136596756697969e-05,0.0125996219170719,4.315004752706022e-05,0.0720731295119394,0.066445608136844,0.0056275213750953,0.1603726956981231,4.975724667103241e-06,1.880068480593101e-05,0.0001742210032053,8.933029534634802e-11,7.213224688072119e-11,1.7198048465626924e-11,3.9612003825249787e-10,3.823967979778575e-10,1.3723240274640612e-11,0.0007823982831631,0.6210837617307998,2.5853998580888415e-07,1.7144041639714726e-10,1.0808982524434044e-09,6.89926866403512e-05,0.0067987852001556,64969.52846347171,280756.0951552358,105538.92359258844,8097.047940576238,12.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,234050.3035478681,890.7072867300936,28895.856904823166,2287.160061240018,685.8715636412119,0.49999493162765707,229578.45435612046,1155.966326351734,481.35114306477965,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,52049.20366213376,60.171155952250125
73393,7.547588293642272e-05,0.0127301005526192,2.142670647376217e-05,0.0126654886871929,4.318515895255824e-05,0.0726129519951487,0.0669724682828869,0.0056404837122617,0.1609286362915688,5.017016542648267e-06,1.8870198074011807e-05,0.0001749801610202,8.954438573984382e-11,7.231075903781809e-11,1.7233626702025838e-11,4.0099552531524916e-10,3.8705511169624917e-10,1.3940413619000187e-11,0.0007851028717744,0.6213154823557352,2.627826128521428e-07,1.7250677847857059e-10,1.0821725869504363e-09,6.925809971791881e-05,0.0068172173380394,66232.82438188596,282247.5620893004,107281.23151774972,9230.514377583497,14.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,250421.55409437377,890.7072867300936,28895.856904823166,2359.701909251654,758.0836241935788,0.49999493162765707,231166.08387117466,1155.966326351734,533.4494237524647,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,57220.609996329316,66.76588790302806
73394,7.474321421861623e-05,0.0126604117457372,2.1350487289063244e-05,0.0125959177422149,4.314351623327675e-05,0.0718293874794148,0.06620326499377,0.0056261224856446,0.1602913646978617,4.958708382501372e-06,1.878881783476256e-05,0.0001740605174361,8.932770334690545e-11,7.209438328730539e-11,1.723332005960014e-11,3.9330992420921796e-10,3.797225411261067e-10,1.3587383083111536e-11,0.0007820314601229,0.6210105821814126,2.5581181243511253e-07,1.7112661999574144e-10,1.0818998066573447e-09,6.894494437535363e-05,0.0067958478985838,64098.07355259974,280279.74162181705,104593.53124114076,7318.390619453466,12.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,234050.3035478681,890.7072867300936,28895.856904823166,2237.3259954063824,636.2640518643973,0.49999493162765707,229578.45435612046,1155.966326351734,445.56119256347904,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,52049.20366213376,55.640773625382295
73395,7.50746206819004e-05,0.0126946871499346,2.1386132295275885e-05,0.0126301377104798,4.316330715948268e-05,0.0721824284786813,0.0665493414309357,0.0056330870477455,0.1605974098389934,4.985146545310234e-06,1.8827630271117545e-05,0.0001744948873081,8.943564271888076e-11,7.219652980127612e-11,1.7239112917604722e-11,3.967041777134148e-10,3.8296196406187415e-10,1.374221365154083e-11,0.0007835090770995,0.6211517465182648,2.588615428985087e-07,1.7176717259028398e-10,1.0821987522937851e-09,6.909400225159276e-05,0.0068060655237716,65097.78097177453,281297.1248645651,105902.9450538036,8150.0851384351,13.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,242235.92882112094,890.7072867300936,28895.856904823166,2290.5544417178367,689.250512693664,0.49999493162765707,230372.26911364755,1155.966326351734,483.78892748496486,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,54634.90682923154,60.479736861115015
73396,7.5196909116117e-05,0.0127253973478763,2.140700023834635e-05,0.0126608134873666,4.317686027135231e-05,0.0723027777551,0.0666640637662052,0.0056387139888947,0.1608256961990549,4.995343733891909e-06,1.8855110833297297e-05,0.0001747760279657,8.954110412977523e-11,7.226253723464714e-11,1.7278566895128185e-11,3.9741636536305727e-10,3.8364898797014935e-10,1.3767377392908092e-11,0.0007846364277273,0.621222930796027,2.593074834455717e-07,1.7210803565740603e-10,1.083452695213448e-09,6.919745887812435e-05,0.0068134790914306,65230.03173414276,281836.4730448407,106267.46620713132,8238.63034959419,14.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,250421.55409437377,890.7072867300936,28895.856904823166,2296.2213349229155,694.8916432477586,0.49999493162765707,231166.08387117466,1155.966326351734,487.8587906180072,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,57220.609996329316,60.99491041549129
73397,7.473820205483046e-05,0.0126604120664734,2.1350144609593116e-05,0.0125959185180938,4.314340376994365e-05,0.0718242120632295,0.0661980977815356,0.0056261142816938,0.1602907869303123,4.958308518410381e-06,1.878859488756368e-05,0.0001740573020736,8.932768300924605e-11,7.209350013181177e-11,1.7234182877434376e-11,3.9324377577427377e-10,3.796595884241281e-10,1.3584187350145896e-11,0.0007820244069907,0.6210102092089056,2.5574690289639044e-07,1.7112115037962596e-10,1.081932567130867e-09,6.894416478288396e-05,0.0067957847481343,64188.44298256175,280822.3205157793,104930.18846077836,7299.791585470782,12.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,234050.3035478681,890.7072867300936,28895.856904823166,2236.135657296418,635.0791252319694,0.49999493162765707,229578.45435612046,1155.966326351734,444.70631264704497,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,52049.20366213376,55.532560766443964
73398,7.523168030101455e-05,0.012726045472849,2.140946471667619e-05,0.0126614580867735,4.3177921358903306e-05,0.0723417277844734,0.0667027759959367,0.0056389517885367,0.1608394549571754,4.998037372830386e-06,1.885702642632853e-05,0.0001748018011212,8.954154134197879e-11,7.22685353300149e-11,1.7273006011963997e-11,3.9786112450699405e-10,3.8407224337823586e-10,1.3788881128758338e-11,0.0007846955339904,0.621235407981321,2.5973881624310445e-07,1.7215897170050655e-10,1.08330026897627e-09,6.92052433616973e-05,0.0068139479541307,65366.67168462217,282377.49324015336,106634.4065133766,8361.690127005078,14.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,250421.55409437377,890.7072867300936,28895.856904823166,2304.0971602476216,702.7316637440151,0.49999493162765707,231166.08387117466,1155.966326351734,493.51506998861146,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,57220.609996329316,61.71089654392925
73399,7.484160244929969e-05,0.012690812732272,2.1369679526909485e-05,0.0126262866538849,4.315639886019616e-05,0.0719236025523038,0.0662919786738265,0.0056316238784772,0.1605122371288429,4.967037240576184e-06,1.881505901070376e-05,0.0001743246692646,8.943292628991173e-11,7.215624092679929e-11,1.7276685363112524e-11,3.9371344143308684e-10,3.8011581494940405e-10,1.3597626483682896e-11,0.000783120316093,0.6210752625896352,2.55957298760924e-07,1.714351941884435e-10,1.0832742046029123e-09,6.904354821474504e-05,0.0068029456372714,64282.93500116933,281366.0841558805,105268.85935365774,7321.099191373295,13.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,242235.92882112094,890.7072867300936,28895.856904823166,2237.499343999796,636.4366123859082,0.49999493162765707,230372.26911364755,1155.966326351734,445.6856884775483,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,54634.90682923154,55.65653263261663
73400,7.485927082196657e-05,0.0126911799449952,2.137093688688393e-05,0.0126266520537147,4.315695439360111e-05,0.0719435717624438,0.066311816514613,0.0056317552478307,0.1605197963195923,4.968401285683512e-06,1.88160538739942e-05,0.0001743379673804,8.943316569918719e-11,7.215928126015796e-11,1.7273884439029314e-11,3.939386146890553e-10,3.803301002594224e-10,1.3608514429633236e-11,0.0007831509426165,0.6210821786769902,2.5617536823406817e-07,1.7146183312669704e-10,1.083201111167713e-09,6.904764216340099e-05,0.0068031856736036,64382.54260363862,281909.09618563345,105609.4230916214,7383.282248941125,13.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,242235.92882112094,890.7072867300936,28895.856904823166,2241.4790594670617,640.3982353963571,0.49999493162765707,230372.26911364755,1155.966326351734,448.5438502028668,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,54634.90682923154,56.018325962485655
73401,7.498509763787659e-05,0.0127219432878381,2.1392053902666267e-05,0.0126573806239842,4.317060995126391e-05,0.0720678246666128,0.0664304218414828,0.0056374028251299,0.1607492907461518,4.97887416691322e-06,1.8843722104015e-05,0.0001746216624753,8.953866576908992e-11,7.222590160545959e-11,1.7312764163630428e-11,3.946963403072434e-10,3.8106046075332166e-10,1.3635879553921908e-11,0.0007842841075767,0.6211544378649438,2.5666557562564016e-07,1.718076236599603e-10,1.0844380687315896e-09,6.915184415185408e-05,0.0068106463476557,64486.5028882876,282452.08861994033,105951.60841414932,7484.467812423195,14.0,15,140,2300,68,93,137006400.0,0.34,188234.454097224,86092.7685707,61142.066940000004,250421.55409437377,890.7072867300936,28895.856904823166,2247.9549351766846,646.8446706842736,0.49999493162765707,231166.08387117466,1155.966326351734,453.1947103569171,0.49999493162765707,55327.83797738704,119.5819550405887,46681.97584836466,905.1244880858455,57220.609996329316,56.607043587168526
73402,8.242285644390488e-05,0.0143092377092779,2.374010549183408e-05,0.0142403884760375,4.510912774860106e-05,0.0786945889256275,0.0723848197609293,0.0063097691646981,0.1812982906454761,5.4211239749540806e-06,2.1353125523434512e-05,0.0001988292919162,1.0749991349701443e-10,8.71706192485934e-11,2.0329294248421065e-11,4.04616547310425e-10,3.914488956124731e-10,1.3167651697952022e-11,0.000878802691768,0.6307285489552134,2.492589450944929e-07,1.9577717010981828e-10,1.217969471760487e-09,7.764444964827131e-05,0.0074662696476083,61048.05512260398,276891.8160710699,100381.1262104853,6217.536459796669,11.0,5,140,8300,105,164,494414400.0,0.34,867034.24024056,418085.4045587,210712.62512,272228.8381279415,4279.0419173779665,115773.82741839369,6495.3875455738735,939.2166588742955,0.49999493162765707,969165.1076205503,1757.4458465850844,664.1300830554192,0.49999493162765707,250504.47602325561,580.7162538861572,177437.4424307854,4169.130070339288,64109.16908730632,83.30777580946777
73403,8.234702881469824e-05,0.0143081291500783,2.373477192305024e-05,0.0142392874327202,4.5106945435053154e-05,0.0786110761667946,0.0723017407974228,0.0063093353693717,0.1812728565901651,5.415212124217587e-06,2.1349121005632016e-05,0.0001987747119754,1.0749909884686291e-10,8.715747852461599e-11,2.0341620322246957e-11,4.036400077985461e-10,3.905195628824579e-10,1.3120444916088298e-11,0.0008786785651433,0.6307059749354258,2.48309420420874e-07,1.9567218038121808e-10,1.2183369598457147e-09,7.76285873633417e-05,0.0074652615912925,60722.379921732914,277925.4858435565,100642.93222412308,5238.996925646215,11.0,5,140,8300,105,164,494414400.0,0.34,867034.24024056,418085.4045587,210712.62512,272228.8381279415,4279.0419173779665,115773.82741839369,6432.761018804237,876.8748428435267,0.49999493162765707,969165.1076205503,1757.4458465850844,619.1528118723638,0.49999493162765707,250504.47602325561,580.7162538861572,177437.4424307854,4169.130070339288,64109.16908730632,77.61443922686895
73404,8.238479151797104e-05,0.0143162296836107,2.374076470738332e-05,0.0142473783075937,4.511061130961918e-05,0.0786465106678206,0.0723357235157947,0.0063107871520258,0.1813304272536664,5.418397610349095e-06,2.1356676319281645e-05,0.0001988529227884,1.0752815246533531e-10,8.717653359695991e-11,2.0351618868375448e-11,4.0389740503410775e-10,3.9076709674498064e-10,1.3130308289127198e-11,0.0008789900132175,0.6307197653559431,2.4849512102346124e-07,1.9576269005868412e-10,1.218612005818603e-09,7.765636351693108e-05,0.0074673454221494,59430.78014973345,276651.6102043898,98915.56330477732,5392.9941270579175,12.0,5,140,8300,105,164,494414400.0,0.34,867034.24024056,418085.4045587,210712.62512,280414.4634011943,4279.0419173779665,115773.82741839369,6442.616839156995,886.6858569769479,0.49999493162765707,969958.9223780774,1757.4458465850844,626.2310888837663,0.49999493162765707,250504.47602325561,580.7162538861572,177437.4424307854,4169.130070339288,66694.8722544041,78.51042540812861
